pl_name,disc_year,discoverymethod,pl_orbper,pl_orbsmax,pl_rade,pl_masse,pl_bmasse,pl_dens,pl_eqt,pl_insol,pl_orbeccen,pl_orbincl,st_teff,st_rad,st_mass,st_lum,st_age,sy_dist
"Kepler-27 c",2011,"Transit",31.33090000000,0.1910000000,4.90000000,4.38587000000000e+03,4385.87000000,,481.00,11.0670,0.000000,88.62000,5400.00,0.590000,0.650000,-0.32941,1.6200,1044.36000000
"Kepler-27 b",2011,"Transit",15.33480000000,0.1180000000,4.00000000,2.89531000000000e+03,2895.31000000,,610.00,28.6810,0.000000,87.95000,5400.00,0.590000,0.650000,-0.32941,1.6200,1044.36000000
"HD 215497 c",2009,"Radial Velocity",566.00000000000,1.3100000000,13.00000000,1.11239942450000e+02,111.23994245,0.278000,,,0.470000,90.00000,5113.00,0.850000,0.920000,-0.41000,5.8000,40.54680000
"Kepler-11 d",2010,"Transit",22.68450000000,0.1550000000,3.12000000,7.30000000000000e+00,7.30000000,1.280000,653.00,51.1150,0.004000,89.67000,5663.00,1.065000,0.961000,0.12020,8.5000,646.34600000
"Kepler-11 b",2010,"Transit",10.30390000000,0.0910000000,1.80000000,1.90000000000000e+00,1.90000000,1.720000,849.00,146.3600,0.045000,89.64000,5663.00,1.065000,0.961000,0.12020,8.5000,646.34600000
"Kepler-31 c",2011,"Transit",42.63180000000,0.2600000000,5.30000000,1.49370000000000e+03,1493.70000000,0.730000,615.00,35.2540,0.000000,89.85000,6340.00,1.220000,1.210000,0.30134,0.2800,1664.64000000
"Kepler-32 c",2011,"Transit",8.75220000000,0.0900000000,2.00000000,1.58900000000000e+02,158.90000000,0.330000,451.00,10.6800,0.000000,89.97000,3900.00,0.530000,0.580000,-1.29243,5.6000,323.84700000
"MOA-bin-1L b",2012,"Microlensing",,8.3000000000,13.00000000,1.20000000000000e+03,1200.00000000,3.000000,,,,,,,0.750000,,,5100.00000000
"GU Psc b",2014,"Imaging",,2000.0000000000,14.17900000,3.59130000000000e+03,3591.30000000,6.920000,1050.00,,,,4031.81,0.450458,0.325000,-1.60189,0.1000,47.55010000
"Kepler-32 d",2012,"Transit",22.78020000000,0.1300000000,2.70000000,3.99089000000000e+01,39.90890000,0.520000,328.00,3.6310,0.000000,89.99000,3900.00,0.530000,0.580000,-1.29243,5.6000,323.84700000
"Kepler-31 d",2014,"Transit",87.64510000000,0.4000000000,3.90000000,2.16124400000000e+03,2161.24400000,0.077000,484.00,11.8000,0.000000,89.89000,6340.00,1.220000,1.210000,0.30134,0.2800,1664.64000000
